text,labels
Soldiers under fire showed impaired working memory and tunnel vision during combat operations,"['Encoding Under Stress', 'Threat Appraisal', 'Fear & Threat Response', 'Decision Under Duress']"
Athletes in flow states report loss of self-consciousness and time distortion during peak performance,"['Encoding Under Stress', 'Self-Concept Updating', 'Flow & Absorption', 'Peak Performance Ceiling']"
Repeated trauma exposure alters threat appraisal thresholds permanently in combat veterans,"['Traumatic Consolidation', 'Threat Appraisal', 'Fear & Threat Response', 'Behavioral Breakdown']"
Sleep deprivation collapses decision quality and risk assessment after 18 hours of sustained operations,"['Encoding Under Stress', 'Threat Appraisal', 'Stress & Arousal Regulation', 'Decision Under Duress']"
Childhood attachment patterns anchor adult self-concept and identity under extreme stress,"['Identity Anchoring', 'Self-Concept Updating', 'Emotional Dysregulation', 'Habit & Automaticity']"
Subjects exposed to prolonged isolation developed systematic distortions in self-referential thinking,"['Identity Anchoring', 'Cognitive Bias Formation', 'Emotional Dysregulation', 'Behavioral Breakdown']"
Hypervigilance states consume working memory capacity leaving fewer resources for executive function,"['Encoding Under Stress', 'Threat Appraisal', 'Stress & Arousal Regulation', 'Decision Under Duress']"
Operatives trained in resistance techniques showed altered fear consolidation compared to controls,"['Traumatic Consolidation', 'Self-Concept Updating', 'Fear & Threat Response', 'Habit & Automaticity']"
Meditation practitioners demonstrate measurable suppression of default mode network activity,"['Identity Anchoring', 'Self-Concept Updating', 'Flow & Absorption', 'Habit & Automaticity']"
Extreme fatigue produces behavioral automaticity replacing conscious deliberation with habit execution,"['Encoding Under Stress', 'Cognitive Bias Formation', 'Stress & Arousal Regulation', 'Habit & Automaticity']"
Near death experiences produce lasting restructuring of core identity beliefs and meaning systems,"['Identity Anchoring', 'Meaning Construction', 'Emotional Dysregulation', 'Behavioral Breakdown']"
Sensory deprivation accelerates suggestibility and dissolution of self-concept boundaries,"['Traumatic Consolidation', 'Self-Concept Updating', 'Emotional Dysregulation', 'Behavioral Breakdown']"
High stakes decision makers under time pressure revert to pattern recognition over analytical reasoning,"['Encoding Under Stress', 'Threat Appraisal', 'Stress & Arousal Regulation', 'Decision Under Duress']"
Trauma survivors exhibit altered encoding of threat-relevant stimuli compared to neutral stimuli,"['Traumatic Consolidation', 'Threat Appraisal', 'Fear & Threat Response', 'Behavioral Breakdown']"
Elite performers describe pre-competition states as identity contraction toward a single purpose,"['Identity Anchoring', 'Self-Concept Updating', 'Flow & Absorption', 'Peak Performance Ceiling']"
Chronic stress exposure produces lasting changes in emotional regulation circuitry and baseline arousal,"['Traumatic Consolidation', 'Threat Appraisal', 'Stress & Arousal Regulation', 'Behavioral Breakdown']"
Subjects under enhanced interrogation showed dissociation as primary psychological defense mechanism,"['Traumatic Consolidation', 'Self-Concept Updating', 'Emotional Dysregulation', 'Behavioral Breakdown']"
Peak performance states in special operations correlate with suppression of self-monitoring cognition,"['Identity Anchoring', 'Self-Concept Updating', 'Flow & Absorption', 'Peak Performance Ceiling']"
Long term meditators show structural changes in regions governing emotional reactivity and self-reference,"['Identity Anchoring', 'Meaning Construction', 'Flow & Absorption', 'Habit & Automaticity']"
"Behavioral breakdown under extreme duress follows predictable sequence: cognition, emotion, motor control","['Traumatic Consolidation', 'Threat Appraisal', 'Emotional Dysregulation', 'Behavioral Breakdown']"
